,Aglaozonia.parvula,Colpomenia.sinuosa,Dictyota.dichotoma,Dictyota.dichotoma.v.intricata,Dictyota.linearis,Discosporangium.mesarthrocapum,Halopteris.filicina,Halopteris.scoparia,Lobophora.variegata,Nereia.filiformis,Padina.pavonica,Sphacelaria.cirrosa,Zanardinia.typus,Acrosymphyton.purpuriferum ,Acrothamnion.preissii,Amphiroa.rigida,Amphiroa.cryptarthrodia,Champia.parvula,Corallina.elongata,Gelidium.bipectinatum.serra,Haliptilon.virgatum,Hildenbrandia.crouaniorum,Hydrolithon.farinosum,Lithophyllum.incrustans,Peyssonnelia.bornetii,Peyssonnelia.rosa.marina,Peyssonnelia.squamaria,Mesophyllum.alternans,Neogoniolithon.brassica.florida,Rhodymenia.ardissonei,Tricleocarpa.cylindrica,Womersleyella.setacea,Wrangelia.penicillata,Acetabularia.acetabulum,Anadyomene.stellata,Caulerpa.cylindracea,Cladophora.aff.coelothrix,Cladophora.prolifera,Cladophora.sp,Codium.bursa,Dasycladus.vermicularis,Flabellia.petiolata,Halimeda.tuna,Microdictyon.tenuius,Parvocaulis.polyphysa.parvulus,Pedobesia.lamourouxii,Chondrilla.nucula,Chondrosia.reniformis,Spirastrella.magica,Cliona.viridis,Crambe.crambe,Crella.elegans,Hymedesmia.versicolor,Petrosia.ficiformis,Sarcotragus.spinosulus,Sycon.raphanus,Balanophyllia.europaea,Cladocora.caespitosa,Cornularia.cornucopiae,Botryocladia.botryoides,Schizoporella.dunkeri,Reptadeonella.violacea,Scrupocellaria.sp,Watersipora.subovoidea,Eupolymnia.nebulosa,Myxicola.aesthetica,Polychaeta.unidentified,Protula.sp,Arca.noae,Rocellaria.dubia,Spondylus.gaederopus,Balanus.perforatus,Calcinus.tubularis,Didemnum.cf.commune,Didemnum.sp,Turf 
11V2,0,0,0,2.222222222,0,5.925925926,0,9.62962963,0,2.222222222,2.962962963,18.51851852,0,2.222222222,0,0,0,0,1.481481481,0,2.222222222,0,0,0,0,0,13.33333333,7.407407407,3.703703704,3.703703704,0,0,0,2.222222222,0,8.888888889,0.740740741,0.740740741,0,0,0,4.444444444,0,0,0,0,0.740740741,0,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704
12V2,0,0,0,7.079646018,0,6.194690265,0.884955752,20.3539823,0,0,2.654867257,21.23893805,0,0,0,0,0,0,0,0,4.424778761,0,0,1.769911504,0,0,12.38938053,0,1.769911504,0,0,0,0,0,0,8.849557522,0,0,0,1.769911504,0,3.539823009,0,0,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0,3.539823009,0,0,0,0,0,0,0,0,0,0,0,0.884955752,0,0.884955752,0,0,0,0
1A2a,0,1.408450704,0,9.85915493,0,0,0,0,4.225352113,0,12.67605634,0,0,0,0,0,1.408450704,0,1.408450704,0,14.08450704,0,0,0,5.633802817,0,0,0,2.816901408,0,0,0,0,1.408450704,7.042253521,0,0,0,28.16901408,1.408450704,0,4.225352113,0,0,0,0,4.225352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A2a,0,3.846153846,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,5.769230769,5.769230769,0,0,0,11.53846154,0,0,0,1.923076923,0,0,0,13.46153846,0,0,0,0,0,0,1.923076923,0,0,5.769230769,1.923076923,0,0,0,3.846153846,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,32.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A2a,0,0,1.265822785,0,3.797468354,0,0,0,7.594936709,0,7.594936709,8.860759494,0,0,3.797468354,0,0,0,10.12658228,0,11.39240506,0,0,0,5.063291139,0,0,6.329113924,2.53164557,0,2.53164557,0,0,1.265822785,3.797468354,0,0,0,0,0,0,15.18987342,0,3.797468354,0,0,0,0,0,0,1.265822785,0,1.265822785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265822785,0,0,0,0,1.265822785,0,0
4A2a,0,0,0,3.25203252,4.06504065,0,0,0,2.43902439,0,4.06504065,2.43902439,0,0,0,0,0.81300813,0,8.130081301,0,13.00813008,0,0,0,17.07317073,0,0,0,2.43902439,0,0.81300813,0,0,0.81300813,0,0,0,0,8.130081301,0,0,12.19512195,0,1.62601626,0,0,18.69918699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5A2a,0,0,0,3.296703297,1.098901099,1.098901099,0,2.197802198,0,0,6.593406593,4.395604396,0,0,0,3.296703297,1.098901099,0,3.296703297,0,15.38461538,0,0,0,9.89010989,0,0,0,8.791208791,1.098901099,1.098901099,2.197802198,0,2.197802198,3.296703297,3.296703297,0,0,5.494505495,0,0,0,0,0,0,0,2.197802198,0,0,0,0,0,0,0,1.098901099,0,1.098901099,15.38461538,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0
6A2a,0,0,0,2.564102564,0,0,0,1.282051282,0,0,10.25641026,1.282051282,0,0,1.282051282,0,5.128205128,0,8.974358974,2.564102564,5.128205128,0,0,0,10.25641026,3.846153846,0,0,7.692307692,0,0,0,0,2.564102564,0,0,0,0,30.76923077,0,0,3.846153846,0,0,0,1.282051282,0,0,0,0,0,0,0,0,0,0,0,1.282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7A2a,0,0,0,2.127659574,0,0,0,2.127659574,0,0,3.191489362,0,0,0,22.34042553,0,6.382978723,0,0,0,9.574468085,0,0,0,25.53191489,0,0,0,1.063829787,0,0,0,0,2.127659574,0,0,0,1.063829787,0,0,0,23.40425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063829787,0,0,0,0,0,0,0,0
8A2a,0,0,0,0.952380952,0,0,0,0,0,0,1.904761905,0,0,0,5.714285714,0,0,0,4.761904762,0,15.23809524,0,0,0,19.04761905,1.904761905,0,0,6.666666667,0,0,0,0,0.952380952,0,0,0,0,12.38095238,0,0,11.42857143,0,16.19047619,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0
9A2a,0,0,0,1.369863014,0,0,4.109589041,0,0,0,9.589041096,5.479452055,0,0,0,10.95890411,4.109589041,0,0,2.739726027,5.479452055,0,0,0,8.219178082,0,0,0,10.95890411,0,0,0,0,1.369863014,0,2.739726027,0,0,6.849315068,0,0,20.54794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.109589041,0,0,0,0,0,0,0,0,0,0,0,0,1.369863014,0,0,0,0,0
10A2a,0,0,0,0,2.727272727,0.909090909,0,0,3.636363636,0,5.454545455,9.090909091,0,0,0,4.545454545,1.818181818,0,0,0.909090909,12.72727273,0,0,0,0,0,0,0,10.90909091,0,1.818181818,0,0,0,5.454545455,2.727272727,0,0,0,0,0,5.454545455,0,0,0,0,15.45454545,0,0,1.818181818,0,0,0,0,0,0,2.727272727,10.90909091,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0
11A2a,4.761904762,0,0,5.555555556,0,0,0,0,0,0,9.523809524,15.87301587,0,0,0,11.9047619,0,0,0.793650794,2.380952381,11.11111111,0,0,0,0,0,4.761904762,0,12.6984127,0,0,0,0,5.555555556,0,0.793650794,0,0,0.793650794,0,0.793650794,0.793650794,0,0,0,0,6.349206349,0,0,0,0,0,0,0,0,0,1.587301587,3.968253968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12A2a,3.529411765,0,0,15.29411765,0,0,0,2.352941176,2.352941176,0,20,14.11764706,0,0,0,0,0,0,0,0,2.352941176,0,0,0,0,0,0,0,11.76470588,0,0,0,0,4.705882353,4.705882353,0,0,0,0,1.176470588,0,0,0,0,0,0,8.235294118,0,0,0,0,0,0,0,0,0,0,8.235294118,0,1.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1A2b,0,0,0,20.48192771,0,0,0,0,0,0,27.71084337,30.12048193,0,0,0,2.409638554,0,0,0,0,4.819277108,0,0,0,0,0,0,0,3.614457831,0,0,0,0,1.204819277,1.204819277,4.819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204819277,2.409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A2b,0,0,0,10.86956522,0,0,0,0,1.086956522,0,22.82608696,27.17391304,0,0,0,6.52173913,0,0,0,0,5.434782609,0,0,0,0,0,3.260869565,0,5.434782609,0,0,0,0,0,3.260869565,8.695652174,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0,0,1.086956522,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043
3A2b,0,0,0,6.140350877,0,0,0,1.754385965,0.877192982,0,21.92982456,21.92982456,0,0,0,12.28070175,0,0,0,0,3.50877193,0,0,0,0,0,0,0,2.631578947,0,0,0,0.877192982,0,0,21.05263158,0,0,1.754385965,3.50877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877192982,0,0,0
4A2b,0,0,0,9.375,0,0,0,0.78125,0.78125,0,16.40625,19.53125,0,0,0,14.84375,0,0,0,0.78125,2.34375,0,0,0,0,0,1.5625,0,9.375,0,0,0,0,0,0,17.96875,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,2.34375,0,0,0,0.78125,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0
5A2b,0,0,0,7.228915663,0,0,0,9.638554217,1.204819277,0,24.09638554,30.12048193,0,0,0,12.04819277,0,0,0,0,4.819277108,0,0,0,0,0,0,0,8.43373494,0,0,0,0,0,1.204819277,0,0,0,1.204819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6A2b,0,0,0,2.702702703,0,0,0,0,0,0,33.78378378,33.78378378,0,0,0,6.756756757,0,0,0,0,6.756756757,0,0,0,0,0,0,0,5.405405405,0,0,0,0,1.351351351,0,2.702702703,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7A2b,0,0,0,2.912621359,0,0,0,8.737864078,2.912621359,0,17.47572816,24.27184466,0,0,0,1.941747573,0,0,0,0,8.737864078,0,0,0,0,0,0.970873786,0,2.912621359,0,0,0,0,0,0,23.30097087,0,0,0,4.854368932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786,0,0,0,0,0,0
8A2b,0,0,0,10.63829787,0,0,0,1.063829787,3.191489362,0,25.53191489,26.59574468,1.063829787,0,0,0,0,0,0,0,8.510638298,0,0,0,0,0,0,0,6.382978723,0,0,0,0,2.127659574,2.127659574,9.574468085,0,0,1.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063829787,0,0,0,0,0,0,0,1.063829787,0,0,0,0,0,0,0,0,0,0,0
9A2b,0,0,0,9.090909091,0,0,0,2.597402597,0,0,28.57142857,32.46753247,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,3.896103896,0,0,0,0,0,5.194805195,2.597402597,0,0,1.298701299,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.896103896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10A2b,0,0,0,2.298850575,0,0,0,0,5.747126437,0,28.73563218,28.73563218,0,0,0,5.747126437,0,0,0,1.149425287,6.896551724,0,0,0,0,0,0,0,5.747126437,0,0,0,0,0,6.896551724,0,0,0,0,1.149425287,0,0,0,0,1.149425287,0,0,0,0,0,0,0,0,0,0,0,0,4.597701149,0,0,0,0,0,0,0,0,0,0,0,1.149425287,0,0,0,0,0,0
11A2b,0,0,0,15.09433962,0,0,0,0,1.886792453,0,23.58490566,23.58490566,0,0,0,15.09433962,0,0,0,0,4.716981132,0,0,0,0,0,0,0,6.603773585,0,0,0,0,1.886792453,0,2.830188679,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943396226,0,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0
12A2b,0,0,0,1.234567901,0,0,0,0,0,0,30.86419753,30.86419753,0,0,0,1.234567901,0,0,0,0,2.469135802,0,0,0,0,0,0,0,4.938271605,0,0,0,0,4.938271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0,2.469135802,2.469135802,0,0,0,0,14.81481481,0,0,0,0,0,0,0,0,0
